miRNA JW1Post JW1Pre JW2Post JW2Pre JW3Post JW3Pre JW4Post JW4Pre JW5Post JW5Pre JW6Post JW6Pre JW7Post JW7Pre
hsa-miR-202-3p 1 0 2 4 4 2 10 22 6 7 0 4 0 10
hsa-miR-202-5p 0 0 0 9 6 0 0 0 4 0 0 0 0 0
hsa-miR-203a-3p 19 0 10 0 0 18 13 11 22 16 2 14 18 28
hsa-miR-203b-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-204-3p 36 7 19 67 81 48 23 139 49 14 18 42 108 30
hsa-miR-204-5p 12 8 16 45 79 49 32 29 65 1 5 14 58 49
hsa-miR-205-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-205-5p 5 0 0 2 5 44 2 29 0 30 1 25 0 0
hsa-miR-206 238 23 41 173 167 185 329 521 486 179 13 132 457 299
hsa-miR-208b-3p 0 0 0 0 0 0 0 0 10 0 0 0 0 0
hsa-miR-20a-3p 0 0 0 0 1 0 0 0 0 0 0 1 0 0
hsa-miR-20a-5p 211 80 93 126 284 175 248 282 408 117 81 242 231 214
hsa-miR-20b-3p 0 0 0 0 0 0 0 0 0 0 0 4 0 0
hsa-miR-20b-5p 34 0 4 20 31 25 33 14 14 6 3 18 1 41
hsa-miR-21-3p 1 0 0 0 0 1 1 2 5 2 1 13 0 3
hsa-miR-21-5p 28468 6683 14776 10609 15537 10765 16278 14488 25901 10565 8724 34508 11027 10591
hsa-miR-210-3p 69 5 27 10 86 6 23 25 10 16 35 31 60 20
hsa-miR-210-5p 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-2110 207 87 379 400 314 261 623 582 919 162 189 410 406 430
hsa-miR-2113 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-2115-3p 0 0 0 0 0 0 0 7 0 0 0 6 0 0
hsa-miR-2115-5p 0 0 0 3 0 2 0 0 0 5 2 2 0 0
hsa-miR-2116-3p 0 0 0 0 0 0 1 0 0 0 0 0 8 0
hsa-miR-212-3p 1 0 0 0 0 0 1 0 0 0 0 1 0 0
hsa-miR-212-5p 1 0 4 0 0 0 5 1 0 0 4 0 48 3
hsa-miR-214-3p 2 0 0 14 0 19 0 10 6 9 2 1 11 2
hsa-miR-214-5p 16 0 11 10 7 0 1 8 0 6 1 0 0 18
hsa-miR-215-5p 61 6 20 258 191 75 108 155 202 48 29 80 114 41
hsa-miR-216b-5p 0 0 0 0 2 0 0 0 7 7 0 1 21 10
hsa-miR-217 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-218-5p 11 22 14 40 30 35 103 20 71 22 10 36 52 18
hsa-miR-219a-1-3p 1 0 10 9 0 10 11 23 2 1 2 6 13 3
hsa-miR-219a-2-3p 0 0 0 0 8 0 0 0 0 0 0 0 0 0
hsa-miR-219b-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-22-3p 1176 268 754 1573 1993 1775 5621 4380 5530 1117 559 1820 3423 2431
hsa-miR-22-5p 357 51 171 238 416 167 534 553 862 225 139 456 723 449
hsa-miR-221-3p 1981 535 977 666 1098 462 820 732 1750 417 600 1758 569 680
hsa-miR-221-5p 69 7 24 8 43 18 59 36 36 33 79 83 22 23
hsa-miR-222-3p 5776 2017 5505 3072 3355 1021 3099 2736 6487 1001 4449 7145 2704 1669
hsa-miR-222-5p 0 0 2 0 0 1 2 0 0 1 0 0 1 0
hsa-miR-223-3p 264 53 122 131 122 55 99 110 203 66 70 264 60 68
hsa-miR-223-5p 3230 869 1738 3360 2336 1119 2847 2436 5336 1153 1568 3468 1928 2048
hsa-miR-224-5p 979 213 494 360 501 238 471 258 1317 256 141 595 450 530
hsa-miR-2276-3p 0 0 0 0 0 0 1 3 7 2 2 0 0 0
hsa-miR-2276-5p 0 0 0 0 0 0 0 0 0 0 0 9 0 0
hsa-miR-2277-5p 2 2 0 9 0 4 0 0 0 0 0 0 0 0
hsa-miR-2278 0 0 5 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-2355-3p 6 0 7 16 9 24 6 0 0 0 4 8 0 18
hsa-miR-23a-3p 120 32 95 111 79 140 65 108 155 119 61 223 77 148
hsa-miR-23a-5p 20 0 10 53 43 0 23 19 38 3 3 28 12 16
hsa-miR-23b-3p 125 37 52 9 67 54 71 131 67 45 67 155 11 28
hsa-miR-23b-5p 29 6 4 38 0 20 57 18 0 16 1 19 39 27
hsa-miR-23c 0 0 0 0 1 0 0 0 0 0 0 0 0 0
hsa-miR-24-1-5p 19 0 3 0 3 0 6 7 12 4 1 4 0 3
hsa-miR-24-2-5p 28 6 30 31 31 32 59 46 77 21 11 52 33 28
hsa-miR-24-3p 6167 920 3262 4362 4316 2382 6034 5035 11745 2404 1754 9852 3481 2944
hsa-miR-25-3p 6720 1157 2671 5724 11590 10250 18442 17749 21319 4879 2344 8854 10856 10551
hsa-miR-25-5p 24 1 27 31 65 44 69 70 84 41 11 48 28 68
hsa-miR-2682-5p 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-26a-1-3p 0 0 0 0 13 0 0 0 4 0 2 0 0 0
hsa-miR-26a-2-3p 0 0 0 0 0 0 1 1 0 0 1 11 0 0
hsa-miR-26a-5p 42906 13211 29894 25552 30386 15083 28554 21066 40165 13951 12614 62515 15207 11866
hsa-miR-26b-3p 9 0 6 11 0 0 0 17 18 0 6 4 96 17
hsa-miR-26b-5p 1018 321 794 1217 1732 1031 2066 2174 1952 766 381 1605 766 908
hsa-miR-27a-3p 2505 367 941 1963 2401 2075 3021 3708 5005 1576 488 3204 3268 2977
hsa-miR-27a-5p 40 6 9 9 0 24 38 25 8 21 11 41 38 26
hsa-miR-27b-3p 2198 375 960 1536 2138 1756 3173 2740 4305 2220 545 3167 4098 2889
hsa-miR-27b-5p 10 2 12 0 0 3 26 3 6 6 11 29 7 5
hsa-miR-28-3p 878 175 536 802 661 366 578 662 1618 345 368 1123 362 394
hsa-miR-28-5p 43 6 22 10 41 5 46 48 55 4 19 134 1 38
hsa-miR-296-3p 3 0 1 4 0 6 4 11 0 1 0 7 1 3
hsa-miR-299-3p 1 0 0 0 0 0 0 0 0 0 0 0 0 2
hsa-miR-29a-3p 178 45 88 203 71 166 244 124 280 63 53 178 118 154
hsa-miR-29a-5p 0 2 0 0 0 0 0 0 0 2 0 0 0 0
hsa-miR-29b-1-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 11
hsa-miR-29b-2-5p 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-29b-3p 0 0 0 3 15 1 0 0 8 0 1 25 10 25
hsa-miR-29c-3p 0 0 0 0 0 0 0 23 2 0 3 0 0 0
hsa-miR-29c-5p 0 0 0 6 1 0 0 1 7 5 1 5 1 0
hsa-miR-301a-3p 0 0 0 0 0 1 0 0 14 0 5 7 0 0
